fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H2-R6138,REM97,"PEDAL DE ARRANQUE DE C 110 ""L""",entrada,2,Hoja 2,6138,U
Diciembre TOTAL,H2-R6139,A28,PEDAL DE ARRANQUE DE MTA,entrada,2,Hoja 2,6139,U
Diciembre TOTAL,H2-R6140,A1051,PEDAL DE ARRANQUE DE HONDA CARGO 125,entrada,4,Hoja 2,6140,U
Diciembre TOTAL,H2-R6141,31-2028-001,PEDAL DE ARRANQUE DE HONDA CBF   TWISTER125,entrada,2,Hoja 2,6141,U
Diciembre TOTAL,H2-R6142,PED-056,PEDAL DE ARRANQUE DE CGL150 HONDA,entrada,3,Hoja 2,6142,U
Diciembre TOTAL,H2-R6143,PED-089,PEDAL DE ARRANQUE DE DM250,entrada,4,Hoja 2,6143,U
Diciembre TOTAL,H2-R6144,REM2572,PEDAL DE ARRANQUE DE DM200,entrada,1,Hoja 2,6144,U
Diciembre TOTAL,H2-R6145,PED-042,PEDAL DE ARRANQUE DE DM200,entrada,3,Hoja 2,6145,U
Diciembre TOTAL,H2-R6146,PED-029,PEDAL DE ARRANQUE DE DM150,entrada,3,Hoja 2,6146,U
Diciembre TOTAL,H2-R6147,REM2574,PEDAL DE ARRANQUE DE DM150,entrada,4,Hoja 2,6147,U
Diciembre TOTAL,H2-R6148,PEA4-084,PEDAL DE ARRANQUE DE DM150,entrada,2,Hoja 2,6148,U
Diciembre TOTAL,H2-R6149,PED-061,PEDAL DE ARRANQUE DE DM125,entrada,3,Hoja 2,6149,U
Diciembre TOTAL,H2-R6150,PED-MT0125-A,PEDAL DE ARRANQUE DE CG125 FT125,entrada,4,Hoja 2,6150,U
Diciembre TOTAL,H2-R6151,REM1703,PEDAL DE ARRANQUE DE FT125,entrada,2,Hoja 2,6151,U
Diciembre TOTAL,H2-R6152,A97,PEDAL DE ARRANQUE DE FT125,entrada,4,Hoja 2,6152,U
Diciembre TOTAL,H2-R6153,PED-CGM-A,PEDAL DE ARRANQUE DE FT125,entrada,3,Hoja 2,6153,U
Diciembre TOTAL,H2-R6154,PED-019,PEDAL DE ARRANQUE DE FT180 Y FT200-FT250 125Z,entrada,3,Hoja 2,6154,U
Diciembre TOTAL,H2-R6156,WP0517,PEDAL DE ARRANQUE DE ROCKETMAN 250,entrada,2,Hoja 2,6156,U
Diciembre TOTAL,H2-R6157,PED-085,PEDAL DE ARRANQUE DE FIERA 200 Y FIERA250,entrada,1,Hoja 2,6157,U
Diciembre TOTAL,H2-R6158,32-5040-001,PEDAL DE ARRANQUE DE RC150,entrada,1,Hoja 2,6158,U
Diciembre TOTAL,H2-R6159,PED-009,PEDAL DE ARRANQUE DE RT200,entrada,5,Hoja 2,6159,U
Diciembre TOTAL,H2-R6160,PEA4-001,PEDAL DE ARRANQUE DE TC200,entrada,2,Hoja 2,6160,U
Diciembre TOTAL,H2-R6161,PED-068,PEDAL DE ARRANQUE DE TC200,entrada,2,Hoja 2,6161,U
Diciembre TOTAL,H2-R6162,PED-023,PEDAL DE ARRANQUE DE TC200,entrada,2,Hoja 2,6162,U
Diciembre TOTAL,H2-R6163,PEA4-016,PEDAL DE ARRANQUE DE TC250,entrada,3,Hoja 2,6163,U
Diciembre TOTAL,H2-R6164,PEA4-110,PEDAL DE ARRANQUE DE SPITFIRE 250,entrada,2,Hoja 2,6164,U
Diciembre TOTAL,H2-R6165,PED-091,PEDAL DE ARRANQUE DE ROCKETMAN 250,entrada,2,Hoja 2,6165,U
Diciembre TOTAL,H2-R6166,28300-FALK,PEDAL DE ARRANQUE DE FALK-200,entrada,1,Hoja 2,6166,U
Diciembre TOTAL,H2-R6167,MC242,PEDAL DE ARRANQUE DE BOXER 150,entrada,2,Hoja 2,6167,U
Diciembre TOTAL,H2-R6168,MC245,PEDAL DE ARRANQUE DE PULSAR 180,entrada,3,Hoja 2,6168,U
Diciembre TOTAL,H2-R6169,A1032,PEDAL DE ARRANQUE DE FZ16,entrada,1,Hoja 2,6169,U
Diciembre TOTAL,H2-R6171,PED-015,PEDAL DE ARRANQUE DE YBR125 Y TITAN,entrada,3,Hoja 2,6171,U
Diciembre TOTAL,H2-R6174,REM843,PEDAL DE ARRANQUE FT150,entrada,5,Hoja 2,6174,U
Diciembre TOTAL,H2-R6175,PED-002,PEDAL DE ARRANQUE FT 150,entrada,3,Hoja 2,6175,U
Diciembre TOTAL,H2-R6176,PED-097,PEDAL DE ARRANQUE FT-150GTS,entrada,3,Hoja 2,6176,U
Diciembre 5,H2-R6177,PED-003,PEDAL DE ARRANQUE FT110,salida,1,Hoja 2,6177,N
Diciembre TOTAL,H2-R6177,PED-003,PEDAL DE ARRANQUE FT110,entrada,2,Hoja 2,6177,U
Diciembre TOTAL,H2-R6178,WP0519 289RPF,PEDAL DE ARRANQUE MOTOCARRO,entrada,7,Hoja 2,6178,U
Diciembre TOTAL,H2-R6180,A199  Y  REM199,PEDAL DE ARRANQUE DE MOTONETA,entrada,2,Hoja 2,6180,U
Diciembre TOTAL,H2-R6182,PED-2209-0315,PEDAL DE CAMBIOS DE VTO CYCLONE 200,entrada,2,Hoja 2,6182,U
Diciembre TOTAL,H2-R6183,MC90,PEDAL DE CAMBIOS DE FZ16,entrada,1,Hoja 2,6183,U
Diciembre TOTAL,H2-R6184,PECN40,PEDAL DE CAMBIOS DE FZ16,entrada,2,Hoja 2,6184,U
Diciembre 3,H2-R6185,32-4202-001  O  JL561401,PEDAL DE CAMBIOS NS200,salida,1,Hoja 2,6185,J
Diciembre TOTAL,H2-R6185,32-4202-001  O  JL561401,PEDAL DE CAMBIOS NS200,entrada,2,Hoja 2,6185,U
Diciembre 4,H2-R6186,PED-A018,PEDAL DE CAMBIOS DE AT110 AX110 XT110,salida,1,Hoja 2,6186,L
Diciembre TOTAL,H2-R6186,PED-A018,PEDAL DE CAMBIOS DE AT110 AX110 XT110,entrada,1,Hoja 2,6186,U
Diciembre TOTAL,H2-R6187,PED-A024,PEDAL DE CAMBIOS DE AT110 AX110 XT110,entrada,2,Hoja 2,6187,U
Diciembre TOTAL,H2-R6188,REM198,PEDAL DE CAMBIO 110CC,entrada,4,Hoja 2,6188,U
Diciembre TOTAL,H2-R6189,JL561205,PEDAL DE CAMBIOS DE PULSAR NS200,entrada,3,Hoja 2,6189,U
Diciembre TOTAL,H2-R6191,PED-A036,PEDAL DE CAMBIOS DT125,entrada,10,Hoja 2,6191,U
Diciembre TOTAL,H2-R6192,PED-A041,PEDAL DE CAMBIOS DE DM250,entrada,3,Hoja 2,6192,U
